Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5AwayOver2.5Perc,Last5HomeOver2.5Perc,HST,AST,HomeOver2.5Perc,AvgLast5AwayGoalsScored,AwayOver2.5Perc,AvgLast5HomeGoalsScored,AvgLast5HomeGoalsConceded,AvgLast5AwayGoalsConceded,MaxC>2.5,B365C<2.5,AvgAHA,HS,Over2.5
2022-05-06,F1,20:00,Lille,Monaco,A,A,2021/2022,1.06002438152715,-0.47253406465978837,0.08162118689795696,-0.45432481283285536,-0.059095175640595674,1.3260531533957802,-0.058853416632935675,-1.2336068582386057,-0.7134629686447642,-0.455599354623948,-0.19793300017009813,-0.21158061162189742,0.252334227628967,0.313877184356638,1
2022-05-07,F1,16:00,Brest,Strasbourg,A,D,2021/2022,-1.9773257190740663,-0.47253406465978837,-1.1389752858617663,0.37632478922498513,-0.48983334475427,-0.9553036862951012,-1.3457814603397933,-0.4466746589300302,0.19627859044095297,-1.265529374707592,-0.1334558683240444,-0.06252897800509698,0.06925143748967803,-1.2609100656468388,0
2022-05-08,F1,16:05,Lorient,Marseille,A,A,2021/2022,1.06002438152715,0.29563629652513146,-1.9527062677015818,0.7916495902539054,-1.7820478520952925,1.8963923633185003,-1.3457814603397933,0.077946807275687,0.19627859044095297,-0.7255760279851626,0.1566912249832006,-0.27545988317195497,-0.17485894936270724,-1.2609100656468388,1
2022-05-08,F1,14:00,Reims,Lens,A,H,2021/2022,-0.4586506687734582,0.29563629652513146,-1.1389752858617663,0.37632478922498513,-0.48983334475427,-0.38496447637238085,0.7990986125049694,-0.7089853920328887,0.19627859044095297,-0.9955527013463772,0.6725082797516354,-0.5309769693721846,0.13027903420277434,-1.2609100656468388,1
2022-05-08,F1,19:45,Paris SG,Troyes,D,H,2021/2022,-0.4586506687734582,1.0638066577100513,0.8953521687377725,-0.45432481283285536,1.2331193317004272,-0.0997948714110208,-0.4878294312018882,1.3895004727899796,-0.4102157822828585,-0.455599354623948,-2.003292691859621,4.047037491715268,0.6184998079075436,0.7075739968575072,1
2022-05-08,F1,14:00,Angers,Bordeaux,H,H,2021/2022,1.06002438152715,-0.47253406465978837,1.3022176596576802,-0.45432481283285536,-0.48983334475427,-0.38496447637238085,2.515002670780779,-0.4466746589300302,-0.10696859592095276,2.7841207257106273,-0.06897873647798997,-0.16899443058852573,0.6184998079075436,-0.07981962814423124,1
2022-05-08,F1,14:00,Clermont,Montpellier,H,D,2021/2022,-0.4586506687734582,1.0638066577100513,-0.3252443040219508,-0.8696496138617756,0.3716429934730792,-0.38496447637238085,-0.4878294312018882,-0.18436392582717176,2.3190088949742935,0.8942840121821255,-0.5203186594003704,0.2142811987118195,0.252334227628967,-0.27666803439466586,1
2022-05-08,F1,12:00,Metz,Lyon,H,H,2021/2022,0.30068685637684583,-0.47253406465978837,1.3022176596576802,0.37632478922498513,-0.48983334475427,0.1853747335503393,-0.058853416632935675,-0.7089853920328887,-0.10696859592095276,-0.455599354623948,-1.8098612963214578,2.982382965880977,-0.17485894936270724,0.313877184356638,1
2022-05-11,F1,18:00,Nice,St Etienne,H,A,2021/2022,0.30068685637684583,-0.47253406465978837,0.8953521687377725,0.7916495902539054,-0.059095175640595674,-0.0997948714110208,-0.4878294312018882,0.34025754037854544,-0.7134629686447642,1.7042140322657688,-0.2624101320161526,0.0013502935449610388,-0.6020521263543801,0.11702877810620337,1
2022-05-11,F1,20:00,Nantes,Rennes,H,D,2021/2022,1.06002438152715,-0.47253406465978837,-0.7321097949418586,0.37632478922498513,-0.9205715138679442,1.0408835484344199,0.37012259793601743,0.602568273481404,-0.10696859592095276,0.35433066545969605,-1.0361357141688052,0.5762637374954784,-0.35794173950199487,-0.8672132531459698,1
