Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5HomeOver2.5Perc,Last5AwayOver2.5Count,AST,Last5AwayOver2.5Perc,HST,Last5HomeOver2.5Count,HomeOver2.5Perc,AwayOver2.5Perc,AvgLast5HomeGoalsScored,AvgLast5AwayGoalsScored,AvgLast5AwayGoalsConceded,B365C>2.5,AvgLast5HomeGoalsConceded,PC<2.5,B365CAHH,Over2.5
2026-01-24,D1,17:30,Union Berlin,Dortmund,A,A,2025/2026,1.4867737539406498,0.28367285982282925,0.33197489725759416,-0.01750774922457059,-0.8456006459482591,1.8677537607468941,0.41048966090721656,-0.05926831580874556,-0.18045426027038466,0.7487166907787837,-0.7194058226924103,1.6638482670107477,0.8176048180268659,0.0,-0.6217289265318463,1
2026-01-24,D1,14:30,Mainz,Wolfsburg,H,A,2025/2026,-0.771604001988629,1.074358032537954,-0.9164848548975396,0.7443343092659793,1.3367360254445684,-0.5084234619802076,-1.912508647408627,0.4496217061353087,-0.6290688311817695,-0.009387501714271322,1.5919754656999796,1.0155439808389086,-0.8383566782170409,0.0,0.42464148716487404,1
2026-01-24,D1,14:30,Leverkusen,Werder Bremen,H,H,2025/2026,-0.01881141667886937,-0.5070123128922955,-0.5003316041791617,-0.7793498077151204,-0.48187786738278787,0.2836356122621596,-0.5187096624191202,-0.05926831580874556,0.49246759609669244,-1.272894489202696,0.051054606771719746,-0.6242845077133887,-0.2863695128024054,0.0,-0.09854371968348614,0
2026-01-24,D1,14:30,Ein Frankfurt,Hoffenheim,A,H,2025/2026,-0.771604001988629,-0.5070123128922955,0.33197489725759416,-0.7793498077151204,-0.8456006459482591,-0.5084234619802076,-0.054110000755951564,0.4496217061353087,-0.4047615457260772,-0.009387501714271322,-0.7194058226924103,0.024019778458449548,-0.01037593009508766,0.0,-0.41245484379250225,1
2026-01-24,D1,14:30,Bayern Munich,Augsburg,A,H,2025/2026,1.4867737539406498,1.074358032537954,0.7481281479759722,0.7443343092659793,0.24556768974815466,1.8677537607468941,2.733487969223061,0.4496217061353087,2.511233165197923,-0.767491694207326,0.8215150362358495,-1.6920798025846524,0.2656176526122304,0.0,0.11073036305585791,1
2026-01-24,D1,14:30,Heidenheim,RB Leipzig,A,D,2025/2026,1.4867737539406498,1.074358032537954,1.580434649412728,0.7443343092659793,-1.2093234245137303,1.8677537607468941,1.3396889842335549,-0.05926831580874556,-1.077683402093154,1.001418088276469,-0.7194058226924103,-0.8530977851858026,1.6455855661488195,0.0,1.1571007767525758,1
2026-01-25,D1,14:30,M'gladbach,Stuttgart,A,A,2025/2026,0.7339811686308902,1.8650432052530788,1.580434649412728,1.5061763677565292,-0.8456006459482591,1.075694686504527,-0.5187096624191202,2.9940718158555844,-0.18045426027038466,2.0122236782672087,-0.7194058226924103,-0.35733568399557264,-0.01037593009508766,0.0,-1.4588252574892202,1
2026-01-25,D1,16:30,Freiburg,FC Koln,H,H,2025/2026,0.7339811686308902,0.28367285982282925,-0.08417835346078376,-0.01750774922457059,-0.11815508881731661,1.075694686504527,0.8750893225703857,-1.0770483596968556,0.49246759609669244,-0.5147902967096412,0.30787474992642966,0.25283305593086336,-0.8383566782170409,0.0,0.9478266940132318,1
2026-01-27,D1,19:30,St Pauli,RB Leipzig,D,D,2025/2026,-0.771604001988629,0.28367285982282925,0.33197489725759416,-0.01750774922457059,-1.2093234245137303,-0.5084234619802076,0.41048966090721656,-0.05926831580874556,-1.3019906875488467,-0.2620888992119562,-0.4625856795377004,1.6638482670107477,-0.01037593009508766,0.0,-0.6217289265318463,0
2026-01-27,D1,19:30,Werder Bremen,Hoffenheim,A,A,2025/2026,-0.01881141667886937,-1.2976974856074204,-0.5003316041791617,-1.5411918662056703,-0.8456006459482591,0.2836356122621596,-0.5187096624191202,0.4496217061353087,-0.6290688311817695,-0.2620888992119562,-1.23304610900183,-0.1666579527685611,1.093598400734184,0.0,-0.6217289265318463,0
2026-01-30,D1,19:30,FC Koln,Wolfsburg,H,H,2025/2026,-0.771604001988629,0.28367285982282925,-0.5003316041791617,-0.01750774922457059,-0.8456006459482591,-0.5084234619802076,0.8750893225703857,0.4496217061353087,-0.8533761166374618,-0.2620888992119562,1.3351553225452693,0.024019778458449548,-0.2863695128024054,0.0,-1.1449141333802042,0
2026-01-31,D1,17:30,Hamburg,Bayern Munich,D,D,2025/2026,-0.01881141667886937,1.8650432052530788,1.16428139869435,1.5061763677565292,-0.48187786738278787,0.2836356122621596,-0.9833093240822893,2.4851817939115293,-0.18045426027038466,3.023029268257948,-1.23304610900183,-1.0056399701674117,-0.2863695128024054,0.0,-1.1449141333802042,1
2026-01-31,D1,14:30,Werder Bremen,M'gladbach,D,D,2025/2026,-0.771604001988629,-1.2976974856074204,-0.9164848548975396,-1.5411918662056703,0.24556768974815466,-0.5084234619802076,-0.5187096624191202,-0.5681583377528003,-0.8533761166374618,-1.020193091705011,-0.20576553638299017,0.25283305593086336,1.093598400734184,0.0,-0.9356400506408601,0
2026-01-31,D1,14:30,RB Leipzig,Mainz,A,D,2025/2026,0.7339811686308902,1.8650432052530788,-0.08417835346078376,1.5061763677565292,-0.48187786738278787,1.075694686504527,0.8750893225703857,0.4496217061353087,0.49246759609669244,-0.009387501714271322,0.5646948930811398,-0.8530977851858026,0.8176048180268659,0.0,-0.9356400506408601,1
2026-01-31,D1,14:30,Hoffenheim,Union Berlin,H,H,2025/2026,0.7339811686308902,-0.5070123128922955,-0.5003316041791617,-0.7793498077151204,-0.48187786738278787,1.075694686504527,0.8750893225703857,-1.0770483596968556,1.6140040233751543,-0.5147902967096412,-0.20576553638299017,0.5197818796486795,-1.1143502609243587,0.0,-1.1449141333802042,1
2026-01-31,D1,14:30,Ein Frankfurt,Leverkusen,A,A,2025/2026,-0.01881141667886937,0.28367285982282925,-0.08417835346078376,-0.01750774922457059,-0.48187786738278787,0.2836356122621596,-0.054110000755951564,-0.05926831580874556,-0.4047615457260772,0.4960152932810988,-0.7194058226924103,0.024019778458449548,0.8176048180268659,0.0,-1.6680993402285642,1
2026-01-31,D1,14:30,Augsburg,St Pauli,H,D,2025/2026,-0.771604001988629,0.28367285982282925,0.33197489725759416,-0.01750774922457059,0.24556768974815466,-0.5084234619802076,-0.5187096624191202,-1.5859383816409105,-0.4047615457260772,-0.5147902967096412,-0.20576553638299017,2.426559191918792,-0.8383566782170409,0.0,-1.4588252574892202,1
2026-02-01,D1,14:30,Stuttgart,Freiburg,H,D,2025/2026,-0.771604001988629,0.28367285982282925,-0.9164848548975396,-0.01750774922457059,0.6092904683136259,-0.5084234619802076,-0.9833093240822893,-0.5681583377528003,-0.8533761166374618,-0.009387501714271322,0.30787474992642966,-0.1666579527685611,0.2656176526122304,0.0,1.1571007767525758,0
2026-02-01,D1,16:30,Dortmund,Heidenheim,H,D,2025/2026,-0.01881141667886937,1.074358032537954,-0.5003316041791617,0.7443343092659793,-0.11815508881731661,0.2836356122621596,-0.5187096624191202,-0.05926831580874556,0.941082167008077,-0.009387501714271322,0.051054606771719746,-1.0056399701674117,-0.8383566782170409,0.0,-0.09854371968348614,1
2026-02-06,D1,19:30,Union Berlin,Ein Frankfurt,D,D,2025/2026,0.7339811686308902,0.28367285982282925,-1.3326381056159176,-0.01750774922457059,-0.8456006459482591,1.075694686504527,0.41048966090721656,0.958511728079364,-0.4047615457260772,-0.009387501714271322,1.3351553225452693,1.2824928045567248,0.5416112353195481,0.0,-0.9356400506408601,0
2026-02-07,D1,17:30,M'gladbach,Leverkusen,D,D,2025/2026,-0.01881141667886937,-0.5070123128922955,-0.9164848548975396,-0.7793498077151204,0.24556768974815466,0.2836356122621596,-0.5187096624191202,-0.05926831580874556,-0.6290688311817695,-0.009387501714271322,-0.7194058226924103,0.024019778458449548,-0.01037593009508766,0.0,-1.1449141333802042,0
2026-02-07,D1,14:30,St Pauli,Stuttgart,H,H,2025/2026,-0.771604001988629,1.8650432052530788,-0.5003316041791617,1.5061763677565292,0.6092904683136259,-0.5084234619802076,0.41048966090721656,2.9940718158555844,-0.8533761166374618,1.5068208832718386,-0.9762259658471202,0.710459610875691,-0.8383566782170409,0.0,0.42464148716487404,1
2026-02-07,D1,14:30,Wolfsburg,Dortmund,A,A,2025/2026,0.7339811686308902,1.074358032537954,-0.08417835346078376,0.7443343092659793,-1.2093234245137303,1.075694686504527,0.8750893225703857,-0.05926831580874556,0.26816031064099993,1.001418088276469,-0.7194058226924103,-0.6242845077133887,0.5416112353195481,0.0,0.42464148716487404,1
